,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Url,Reactor,Endt,duration
184,184,184,4.0,Dampierre-en-Burly,2018-06-08,2018-12-24,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-412,Dampierre-en-Burly_4,,199.0
185,185,185,2.0,Bugey,2018-09-28,2018-12-09,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-22,Bugey_2,,72.0
186,186,186,3.0,Paluel,2018-09-28,2018-12-31,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-simple-rechargement-du-reacteur-3,Paluel_3,,94.0
187,187,187,1.0,Saint-Alban,2018-09-28,2019-12-01,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-124,Saint-Alban_1,,429.0
188,188,188,2.0,Saint-Laurent-des-Eaux,2018-08-31,2018-12-13,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-226,Saint-Laurent-des-Eaux_2,,104.0
189,189,189,2.0,Chinon,2018-08-10,2018-12-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-225,Chinon_2,,118.0
190,190,190,1.0,Civaux,2018-09-21,2018-11-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-12,Civaux_1,,44.0
191,191,191,5.0,Bugey,2018-07-27,2018-11-26,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-5,Bugey_5,,7116.0
192,192,192,3.0,Chinon,2018-10-19,2018-12-02,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-3,Chinon_3,,44.0
193,193,193,4.0,Blayais,2018-09-08,2018-10-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-42,Blayais_4,,41.0
194,194,194,1.0,Cruas-Meysse,2018-08-24,2018-10-22,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-123,Cruas-Meysse_1,,59.0
195,195,195,3.0,Dampierre-en-Burly,2018-10-05,2018-11-28,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-313,Dampierre-en-Burly_3,,54.0
196,196,196,1.0,Gravelines,2018-08-10,2018-09-28,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-122,Gravelines_1,,49.0
197,197,197,5.0,Gravelines,2018-06-01,2018-08-15,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-52,Gravelines_5,,75.0
198,198,198,6.0,Gravelines,2018-03-02,2018-10-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-6-3eme-visite-decennale,Gravelines_6,,218.0
199,199,199,2.0,Cattenom,2018-05-25,2018-10-14,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-25,Cattenom_2,,142.0
200,200,200,4.0,Cruas-Meysse,2018-05-04,2018-09-03,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-411,Cruas-Meysse_4,,122.0
201,201,201,1.0,Blayais,2018-06-29,2018-09-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-121,Blayais_1,,69.0
202,202,202,2.0,Paluel,2015-05-15,2018-09-23,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-24,Paluel_2,,1227.0
203,203,203,2.0,Nogent-sur-Seine,2018-07-01,2018-09-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-224,Nogent-sur-Seine_2,,67.0
204,204,204,1.0,Chooz,2018-06-30,2018-09-09,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-120,Chooz_1,,71.0
205,205,205,1.0,Tricastin,2018-05-18,2018-08-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-119,Tricastin_1,,84.0
206,206,206,1.0,Chinon,2018-06-29,2018-08-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-197,Chinon_1,,48.0
207,207,207,1.0,Tricastin,2018-05-18,2018-08-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-118,Tricastin_1,,84.0
208,208,208,2.0,Saint-Alban,2018-02-01,2018-07-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-23,Saint-Alban_2,,161.0
209,209,209,2.0,Civaux,2018-03-16,2018-07-11,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-2,Civaux_2,,117.0
210,210,210,3.0,Blayais,2018-04-19,2018-06-26,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-312,Blayais_3,,68.0
211,211,211,1.0,Saint-Laurent-des-Eaux,2018-06-02,2018-07-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-117,Saint-Laurent-des-Eaux_1,,47.0
212,212,212,4.0,Chinon,2018-04-06,2018-07-17,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-410,Chinon_4,,102.0
213,213,213,4.0,Bugey,2018-03-23,2018-06-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-42,Bugey_4,,75.0
214,214,214,4.0,Gravelines,2018-03-30,2018-05-14,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-49,Gravelines_4,,45.0
215,215,215,2.0,Penly,2018-04-27,2018-07-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-223,Penly_2,,68.0
216,216,216,2.0,Dampierre-en-Burly,2018-03-30,2018-06-26,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-222,Dampierre-en-Burly_2,,88.0
217,217,217,4.0,Tricastin,2018-03-02,2018-05-17,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-48,Tricastin_4,,76.0
218,218,218,1.0,Cattenom,2018-02-16,2018-04-14,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-116,Cattenom_1,,57.0
219,219,219,2.0,Cruas-Meysse,2017-12-01,2018-04-26,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-22,Cruas-Meysse_2,,146.0
220,220,220,2.0,Blayais,2018-10-03,2018-04-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-reacteur-2,Blayais_2,,-170.0
221,221,221,2.0,Belleville-sur-Loire,2017-10-06,2018-04-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-221,Belleville-sur-Loire_2,,195.0
222,222,222,2.0,Fessenheim,2016-06-12,2018-04-08,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-220,Fessenheim_2,,665.0
223,223,223,1.0,Paluel,2018-02-16,2018-04-01,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-simple-rechargement-du-reacteur-n-15,Paluel_1,,44.0
224,224,224,1.0,Cruas-Meysse,2017-06-09,2017-11-25,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-12,Cruas-Meysse_1,,169.0
225,225,225,2.0,Gravelines,2017-09-29,2018-01-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-219,Gravelines_2,,97.0
226,226,226,1.0,Gravelines,2017-07-21,2017-11-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-115,Gravelines_1,,114.0
227,227,227,3.0,Tricastin,2017-10-03,2017-12-20,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-311,Tricastin_3,,78.0
228,228,228,2.0,Chooz,2017-08-04,2017-12-15,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-218,Chooz_2,,133.0
229,229,229,3.0,Bugey,2017-10-20,2017-11-29,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-3,Bugey_3,,40.0
230,230,230,2.0,Saint-Laurent-des-Eaux,2017-09-22,2017-11-29,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-2100,Saint-Laurent-des-Eaux_2,,68.0
231,231,231,3.0,Chinon,2017-09-22,2017-12-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-310,Chinon_3,,79.0
232,232,232,1.0,Golfech,2017-06-30,2017-09-28,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-113,Golfech_1,,90.0
233,233,233,1.0,Belleville-sur-Loire,2017-05-26,2017-11-13,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-114,Belleville-sur-Loire_1,,171.0
234,234,234,1.0,Nogent-sur-Seine,2017-09-22,2017-11-25,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-112,Nogent-sur-Seine_1,,64.0
235,235,235,4.0,Blayais,2017-07-20,2017-10-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-4,Blayais_4,,76.0
236,236,236,3.0,Dampierre-en-Burly,2017-08-24,2017-11-27,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-346,Dampierre-en-Burly_3,,95.0
237,237,237,3.0,Paluel,2017-02-10,2017-11-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-n-32,Paluel_3,,284.0
238,238,238,1.0,Penly,2017-08-11,2017-11-22,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-partielle-du-reacteur-n-19,Penly_1,,103.0
239,239,239,1.0,Civaux,2017-05-19,2017-09-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-1,Civaux_1,,125.0
240,240,240,2.0,Chinon,2017-08-25,2017-10-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-217,Chinon_2,,57.0
241,241,241,4.0,Paluel,2017-09-08,2017-10-18,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-simple-rechargement-du-reacteur-n-42,Paluel_4,,40.0
242,242,242,1.0,Chinon,2017-06-09,2017-10-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-196,Chinon_1,,118.0
243,243,243,1.0,Fessenheim,2017-07-21,2017-09-30,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-195,Fessenheim_1,,71.0
244,244,244,1.0,Dampierre-en-Burly,2017-06-30,2017-09-14,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-194,Dampierre-en-Burly_1,,76.0
245,245,245,3.0,Gravelines,2017-06-23,2017-08-11,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-345,Gravelines_3,,49.0
246,246,246,2.0,Flamanville,2017-05-12,2017-09-09,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-299,Flamanville_2,,120.0
247,247,247,5.0,Gravelines,2016-04-08,2017-08-11,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-5,Gravelines_5,,490.0
248,248,248,4.0,Gravelines,2017-04-14,2017-08-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-443,Gravelines_4,,114.0
249,249,249,1.0,Saint-Alban,2017-02-16,2017-07-17,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-visite-decennale-du-reacteur-1,Saint-Alban_1,,151.0
250,250,250,2.0,Dampierre-en-Burly,2017-07-12,2017-08-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-sans-renouvellement-des-assemblages-de-combustible-du-reacteur-n-22,Dampierre-en-Burly_2,,31.0
251,251,251,1.0,Saint-Laurent-des-Eaux,2017-05-19,2017-08-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-193,Saint-Laurent-des-Eaux_1,,89.0
252,252,252,4.0,Cruas-Meysse,2017-05-05,2017-07-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-4,Cruas-Meysse_4,,61.0
253,253,253,2.0,Bugey,2017-06-23,2017-08-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-2,Bugey_2,,43.0
254,254,254,1.0,Blayais,2017-06-09,2017-07-23,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-111,Blayais_1,,44.0
255,255,255,3.0,Blayais,2017-05-05,2017-06-29,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-39,Blayais_3,,55.0
256,256,256,2.0,Tricastin,2017-04-07,2017-07-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-de-son-combustible-du-reacteur-22,Tricastin_2,,88.0
257,257,257,2.0,Golfech,2017-11-03,2017-04-20,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-216,Golfech_2,,-197.0
258,258,258,4.0,Dampierre-en-Burly,2017-05-26,2017-07-11,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-47,Dampierre-en-Burly_4,,46.0
259,259,259,2.0,Tricastin,2017-04-07,2017-07-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-de-son-combustible-du-reacteur-2,Tricastin_2,,88.0
260,260,260,4.0,Chinon,2017-04-28,2017-06-25,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-46,Chinon_4,,58.0
261,261,261,1.0,Chooz,2017-02-23,2017-06-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-192,Chooz_1,,101.0
262,262,262,6.0,Gravelines,2017-02-03,2017-05-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-68,Gravelines_6,,92.0
263,263,263,2.0,Dampierre-en-Burly,2017-04-21,2017-06-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-298,Dampierre-en-Burly_2,,44.0
264,264,264,2.0,Nogent-sur-Seine,2017-03-03,2017-04-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-215,Nogent-sur-Seine_2,,38.0
265,265,265,2.0,Blayais,2017-02-17,2017-05-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-partielle-du-reacteur-n-28,Blayais_2,,78.0
266,266,266,1.0,Civaux,2017-02-02,2017-02-28,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-controle-du-reacteur-n-12,Civaux_1,,26.0
267,267,267,2.0,Tricastin,2016-01-25,2016-02-09,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-214,Tricastin_2,,15.0
268,268,268,2.0,Gravelines,2016-09-16,2016-12-30,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-297,Gravelines_2,,105.0
269,269,269,4.0,Tricastin,2016-10-21,2017-01-20,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-45,Tricastin_4,,91.0
270,270,270,2.0,Saint-Alban,2016-07-08,2016-09-18,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-213,Saint-Alban_2,,72.0
271,271,271,3.0,Tricastin,2016-05-06,2016-12-26,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-38,Tricastin_3,,234.0
272,272,272,1.0,Tricastin,2016-08-17,2017-01-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-110,Tricastin_1,,140.0
273,273,273,2.0,Cruas-Meysse,2016-10-14,2016-11-24,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-212,Cruas-Meysse_2,,41.0
274,274,274,3.0,Cruas-Meysse,2016-07-29,2016-11-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-37,Cruas-Meysse_3,,99.0
275,275,275,4.0,Bugey,2016-08-28,2017-01-14,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-44,Bugey_4,,7813.0
276,276,276,4.0,Gravelines,2016-12-16,2017-01-08,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-controle-du-reacteur-n-4,Gravelines_4,,23.0
277,277,277,1.0,Fessenheim,2016-12-09,2016-12-29,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-controle-du-reacteur-n-1,Fessenheim_1,,20.0
278,278,278,3.0,Cattenom,2016-09-23,2016-12-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-35,Cattenom_3,,87.0
279,279,279,3.0,Dampierre-en-Burly,2016-09-22,2016-12-22,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-36,Dampierre-en-Burly_3,,91.0
280,280,280,2.0,Saint-Laurent-des-Eaux,2016-09-02,2016-11-30,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-211,Saint-Laurent-des-Eaux_2,,89.0
281,281,281,1.0,Gravelines,2016-08-12,2016-11-27,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-191,Gravelines_1,,107.0
282,282,282,1.0,Paluel,2016-04-08,2016-11-18,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-n-19,Paluel_1,,224.0
283,283,283,3.0,Chinon,2016-10-07,2016-11-18,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible4,Chinon_3,,42.0
284,284,284,3.0,Bugey,2016-06-01,2016-08-26,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-34,Bugey_3,,86.0
